cnc_id,cnc_date,SpindleSpeed_max,Servocurrent_mean,SpindleLoad_max
20220823-0000275,2023-10-08 05:22:41.339,2216.92,134.21,31602.11
20220823-0000276,2023-10-08 05:24:07.831,2224.02,149.43,31611.15
20220823-0000277,2023-10-08 05:24:08.834,2225.03,161.15,31598.89
20220823-0000278,2023-10-08 05:25:25.783,2228.06,137.78,31287.8
20220823-0000279,2023-10-08 05:25:25.843,2228.06,151.0,31538.2
20220823-0000280,2023-10-08 05:26:48.327,2225.03,167.31,31398.53
20220823-0000281,2023-10-08 05:26:49.330,2227.05,142.04,31934.01
20220823-0000282,2023-10-08 05:28:02.326,2227.05,153.58,31501.95
20220823-0000283,2023-10-08 05:29:33.634,2223.01,179.77,31976.65
20220823-0000285,2023-10-08 05:32:09.821,2227.05,142.16,31972.13
20220823-0000287,2023-10-08 05:34:50.833,2227.05,155.37,33178.42
20220823-0000287,2023-10-08 05:34:50.833,2227.05,160.17,31598.5
20220823-0000289,2023-10-08 05:36:04.831,2230.08,158.96,32016.31
20220823-0000291,2023-10-08 05:38:45.331,2214.91,136.02,31599.75
20220823-0000291,2023-10-08 05:38:45.331,2226.04,151.13,31286.88
20220823-0000293,2023-10-08 05:41:26.320,2229.07,152.33,31501.79
20220823-0000295,2023-10-08 05:44:51.324,2230.08,146.55,31974.55
20220823-0000296,2023-10-08 05:47:45.123,2225.03,148.36,31598.1
20220823-0000298,2023-10-08 05:50:20.820,2232.1,147.6,32007.48
20220823-0000299,2023-10-08 05:50:21.822,2224.02,158.29,31856.32
20220823-0000300,2023-10-08 05:52:01.839,2228.06,127.04,31167.98
20220823-0000302,2023-10-08 05:54:49.354,2227.05,153.81,31828.54
20220823-0000303,2023-10-08 05:56:02.317,2223.01,153.66,33364.62
20220823-0000303,2023-10-08 05:56:02.317,2223.01,158.41,31775.83
20220823-0000304,2023-10-08 05:57:16.324,2223.01,157.6,32064.69
20220823-0000306,2023-10-08 06:00:42.327,2228.06,147.68,31932.7
20220823-0000307,2023-10-08 06:01:56.313,2227.05,159.06,31906.74
20220823-0000308,2023-10-08 06:03:09.323,2226.04,147.0,31917.29
20220823-0000310,2023-10-08 06:05:35.817,2231.09,157.0,31349.09
20220823-0000311,2023-10-08 06:05:36.819,2227.05,144.06,32080.06
20220823-0000312,2023-10-08 06:06:49.810,2223.01,155.05,31931.2
20220823-0000313,2023-10-08 06:06:50.809,2226.04,165.55,31397.96
20220823-0000314,2023-10-08 06:08:03.814,2227.05,163.71,31963.93
20220823-0000315,2023-10-08 06:09:16.820,2225.03,165.61,31690.72
20220823-0000316,2023-10-08 06:10:30.824,2213.9,127.33,31711.74
20220823-0000316,2023-10-08 06:10:30.824,2225.03,141.48,31397.76
20220823-0000317,2023-10-08 06:11:43.829,2227.05,158.02,31931.48
20220823-0000319,2023-10-08 06:14:12.316,2231.09,146.68,31706.52
20220823-0000320,2023-10-08 06:15:25.314,2226.04,153.53,32039.16
20220823-0000321,2023-10-08 06:15:26.324,2226.04,155.54,32054.28
20220823-0000323,2023-10-08 06:17:52.319,2223.01,142.98,31503.29
20220823-0000325,2023-10-08 06:20:20.303,2225.03,138.03,31397.29
20220823-0000326,2023-10-08 06:21:33.311,2224.02,160.31,31288.76
20220823-0000327,2023-10-08 06:22:52.305,2229.07,152.23,32029.64
20220823-0000328,2023-10-08 06:22:53.310,2227.05,144.88,31687.76
20220823-0000329,2023-10-08 06:24:06.309,2223.01,167.06,31777.31
20220823-0000330,2023-10-08 06:25:19.801,2224.02,158.76,31776.1
20220823-0000331,2023-10-08 06:26:32.813,2229.07,146.23,31929.16
20220823-0000333,2023-10-08 06:28:59.306,2223.01,152.79,33179.28
20220823-0000333,2023-10-08 06:28:59.306,2223.01,157.52,31599.32
20220823-0000334,2023-10-08 06:29:00.309,2227.05,145.43,32008.08
20220823-0000335,2023-10-08 06:30:13.301,2225.03,161.28,31854.78
20220823-0000337,2023-10-08 06:32:39.307,2230.08,156.86,31858.35
20220823-0000339,2023-10-08 06:33:53.306,2226.04,147.18,31872.38
20220823-0000342,2023-10-08 06:42:10.799,2228.06,153.84,31855.24
20220823-0000343,2023-10-08 06:43:46.815,2226.04,152.69,31169.09
20220823-0000344,2023-10-08 06:45:08.811,2227.05,143.69,31837.47
20220823-0000345,2023-10-08 06:46:28.796,2231.09,153.88,31597.9
20220823-0000347,2023-10-08 06:49:03.803,2228.06,152.03,31254.04
20220823-0000348,2023-10-08 06:50:20.797,2226.04,158.2,31689.27
20220823-0000349,2023-10-08 06:51:38.797,2232.1,165.93,31499.53
20220823-0000351,2023-10-08 06:54:13.808,2226.04,155.69,31171.11
20220823-0000352,2023-10-08 06:55:30.790,2225.03,143.73,31672.8
20220823-0000353,2023-10-08 06:56:47.795,2227.05,166.59,31597.72
20220823-0000354,2023-10-08 06:58:05.793,2231.09,156.04,31691.64
20220823-0000355,2023-10-08 06:59:22.791,2226.04,143.47,33037.67
20220823-0000355,2023-10-08 06:59:22.791,2226.04,147.91,31464.45
20220823-0000356,2023-10-08 07:00:40.807,2227.05,157.19,31689.13
20220823-0000357,2023-10-08 07:01:57.803,2227.05,142.88,31500.89
20220823-0000358,2023-10-08 07:03:14.791,2223.01,148.74,31599.52
20220823-0000358,2023-10-08 07:03:14.791,2211.89,133.87,31915.52
20220823-0000359,2023-10-08 07:04:31.790,2225.03,159.66,31286.88
20220823-0000360,2023-10-08 07:04:32.794,2224.02,160.53,31396.75
20220823-0000361,2023-10-08 07:05:09.795,2223.01,144.47,31212.42
20220823-0000362,2023-10-08 07:07:17.798,2227.05,149.13,31931.64
20220823-0000363,2023-10-08 07:08:39.786,2223.01,165.33,31700.44
20220823-0000364,2023-10-08 07:09:52.793,2226.04,159.32,31953.09
20220823-0000365,2023-10-08 07:11:05.785,2233.11,155.36,31500.48
20220823-0000366,2023-10-08 07:12:19.781,2231.09,142.88,31997.24
20220823-0000367,2023-10-08 07:13:33.298,2227.05,148.66,31287.18
20220823-0000368,2023-10-08 07:14:47.286,2224.02,171.42,31997.94
20220823-0000369,2023-10-08 07:16:00.281,2225.03,165.41,31396.81
20220823-0000370,2023-10-08 07:17:13.287,2226.04,141.59,31500.54
20220823-0000371,2023-10-08 07:18:27.297,2228.06,150.17,31856.82
20220823-0000374,2023-10-08 07:22:07.291,2226.04,144.4,31502.45
20220823-0000375,2023-10-08 07:23:20.294,2224.02,157.28,31598.69
20220823-0000376,2023-10-08 07:24:34.287,2227.05,159.46,32049.87
20220823-0000377,2023-10-08 07:25:52.429,2224.02,144.77,31597.57
20220823-0000378,2023-10-08 07:25:52.497,2230.08,136.18,31918.86
20220823-0000379,2023-10-08 07:27:01.288,2224.02,150.04,31597.9
20220823-0000379,2023-10-08 07:27:01.288,2224.02,145.54,33177.79
20220823-0000380,2023-10-08 07:28:14.279,2226.04,145.32,32058.09
20220823-0000381,2023-10-08 07:29:28.288,2227.05,147.54,31288.44
20220823-0000383,2023-10-08 07:31:54.279,2226.04,134.71,31288.73
20220823-0000384,2023-10-08 07:31:55.283,2230.08,141.61,32046.26
20220823-0000385,2023-10-08 07:33:08.283,2227.05,161.72,31286.52
20220823-0000386,2023-10-08 07:34:21.276,2227.05,149.06,32030.68
20220823-0000387,2023-10-08 07:35:35.277,2232.1,149.97,31856.35
20220823-0000389,2023-10-08 07:38:01.275,2223.01,160.72,31736.54
20220823-0000390,2023-10-08 07:39:15.288,2227.05,173.9,31289.23
20220823-0000391,2023-10-08 07:40:28.282,2211.89,130.69,31816.62
20220823-0000391,2023-10-08 07:40:28.282,2223.01,145.21,31501.6
20220823-0000393,2023-10-08 07:42:55.284,2223.01,168.55,32030.19
20220823-0000394,2023-10-08 07:44:09.282,2226.04,168.3,31598.13
20220823-0000395,2023-10-08 07:45:22.281,2224.02,142.85,31689.13
20220823-0000396,2023-10-08 07:46:35.286,2225.03,157.99,31169.89
20220823-0000397,2023-10-08 07:47:48.284,2227.05,142.56,32029.77
20220823-0000399,2023-10-08 07:49:02.270,2226.04,143.37,31993.36
20220823-0000401,2023-10-08 07:50:16.269,2226.04,132.76,31501.95
20220823-0000402,2023-10-08 07:51:29.271,2227.05,157.1,31409.82
20220823-0000403,2023-10-08 07:52:42.283,2232.1,159.99,31776.32
20220823-0000404,2023-10-08 07:53:59.278,2224.02,140.56,31598.88
20220823-0000405,2023-10-08 07:55:13.275,2225.03,143.7,31955.34
20220823-0000406,2023-10-08 07:56:44.845,2229.07,159.75,32062.04
20220823-0000407,2023-10-08 07:57:48.272,2224.02,133.96,32055.71
20220823-0000410,2023-10-08 08:01:29.264,2227.05,160.02,31281.42
