SpindleSpeed_max,SpindleSpeed_mean,ServoCurrent_X_max,ServoCurrent_X_mean,SpindleLoad_max,SpindleLoad_mean,SpindleLoad_std
2227.05,1252.3727027027026,1429.15,158.41986486486488,31398.31238,4271.395984604316,5320.5031138497725
2227.05,1180.780641025641,1510.96,151.36403846153846,32008.19381,3241.4464112500004,5001.03189066597
2227.05,1189.072356687898,1068.58,143.85745222929935,31502.08988,3515.539293819918,4963.334280759584
2224.02,1260.8348648648648,937.28,145.80168918918918,31207.89506,3391.7205135054346,4736.149888780461
2225.03,1221.9811764705885,681.75,144.09993464052286,32091.01381,3114.918299278846,4825.433522957373
2227.05,1208.8643790849674,1552.37,154.38477124183007,31375.77625,3605.24623504788,5089.014404964931
2227.05,1211.3703896103898,1552.37,165.6531168831169,31689.76,3149.6401635628017,4918.5404989333
2223.01,1222.1792156862743,1086.76,158.99248366013072,31286.88009,3504.6230190625,5068.6342808506615
2226.04,1220.6243506493508,1216.04,155.74331168831168,31572.28488,3480.338371717305,5100.41734690229
2228.06,1188.2943225806453,1082.72,146.75625806451615,31286.80131,3361.2442875032507,4943.988515803523
2228.06,1207.677987012987,1127.16,152.29357142857145,32060.76128,3333.5457441092326,4920.666526543786
2226.04,1221.723725490196,1088.78,150.16653594771242,31776.96744,3394.074121354167,5008.717475018819
2226.04,1216.5482580645162,970.61,150.7050322580645,31931.4025,3398.341931636364,5023.44318106057
2226.04,1206.2502614379084,1446.32,141.69045751633988,32057.87369,3476.238000364109,5141.010075345511
2224.02,1221.8342105263157,1571.56,148.80888157894736,32096.80616,3360.6842735529717,4986.870726581961
2226.04,1197.7046153846154,1571.56,161.54820512820513,32085.175,3417.9265057757493,5060.054116505708
2226.04,1213.337922077922,1179.68,160.87857142857143,32057.32122,3369.566841942634,4971.653069567292
2228.06,1209.1536363636365,1522.07,153.07402597402597,31690.09128,3373.203832782835,5015.780781975576
2231.09,1213.4100649350648,998.89,166.51883116883116,31609.7175,3357.766891651496,4914.395890249399
2226.04,1198.7405128205128,1513.99,171.62230769230771,31611.42238,3418.5879733854167,5087.590294549716
2226.04,1221.1812258064515,1513.99,162.1017419354839,31826.89881,3388.820384647519,4984.109870974736
2224.02,1196.9924358974358,765.58,158.81602564102565,31501.94747,3348.931864772432,4974.360577816989
2225.03,1200.346153846154,1133.22,155.34576923076924,31824.75256,3359.186705299479,4958.152831886694
